unnamed_0,name,season,season_year,team,rating,goals,bigchancescreated,bigchancesmissed,assists,goalsassistssum,accuratepasses,inaccuratepasses,totalpasses,accuratepassespercentage,accurateownhalfpasses,accurateoppositionhalfpasses,accuratefinalthirdpasses,keypasses,successfuldribbles,successfuldribblespercentage,tackles,interceptions,yellowcards,directredcards,redcards,accuratecrosses,accuratecrossespercentage,totalshots,shotsontarget,shotsofftarget,groundduelswon,groundduelswonpercentage,aerialduelswon,aerialduelswonpercentage,totalduelswon,totalduelswonpercentage,minutesplayed,goalconversionpercentage,penaltiestaken,penaltygoals,penaltywon,penaltyconceded,shotfromsetpiece,freekickgoal,goalsfrominsidethebox,goalsfromoutsidethebox,shotsfrominsidethebox,shotsfromoutsidethebox,headedgoals,leftfootgoals,rightfootgoals,accuratelongballs,accuratelongballspercentage,clearances,errorleadtogoal,errorleadtoshot,dispossessed,possessionlost,possessionwonattthird,totalchippedpasses,accuratechippedpasses,touches,wasfouled,fouls,hitwoodwork,owngoals,dribbledpast,offsides,blockedshots,passtoassist,saves,cleansheet,penaltyfaced,penaltysave,savedshotsfrominsidethebox,savedshotsfromoutsidethebox,goalsconcededinsidethebox,goalsconcededoutsidethebox,punches,runsout,successfulrunsout,highclaims,crossesnotclaimed,matchesstarted,penaltyconversion,setpiececonversion,totalattemptassist,totalcontest,totalcross,duellost,aeriallost,attemptpenaltymiss,attemptpenaltypost,attemptpenaltytarget,totallongballs,goalsconceded,tackleswon,tackleswonpercentage,scoringfrequency,yellowredcards,savescaught,savesparried,totalownhalfpasses,totaloppositionhalfpasses,totwappearances,appearances,substitutionsin,substitutionsout,sn,rk,squad,mp,w,d,l,gf,ga,gd,pts,xg,xga,xgd,xgd90,last_5,attendance,top_team_scorer,goalkeeper,country,serial,player_name,club,position,corner_taken,dribbles,match_played
0.0,Robin van Persie,Champions League 13/14,13/14,manchester-united,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,Ashley Cole,Champions League 13/14,13/14,chelsea,,0.0,,,0.0,0.0,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,,,,,,,414.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,0.0,,,,,,5.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,José Antonio Reyes,UEFA Champions League 15/16,15/16,sevilla,7.25,0.0,0.0,1.0,0.0,0.0,58.0,26.0,84.0,69.047619047619,18.0,42.0,27.0,2.0,1.0,50.0,1.0,4.0,1.0,,0.0,2.0,28.571428571429,2.0,0.0,2.0,6.0,60.0,6.0,42.857142857143,12.0,50.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,4.0,50.0,1.0,0.0,0.0,2.0,,,,,,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,7.0,12.0,8.0,0.0,0.0,0.0,8.0,1.0,,,,0.0,0.0,0.0,23.0,68.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,Roman Weidenfeller,Champions League 13/14,13/14,borussia-dortmund,,0.0,,,0.0,0.0,,,,,,,,,,,,,0.0,1.0,1.0,,,,,,,,,,,,765.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,0.0,,,,,,9.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,Roman Weidenfeller,Champions League 14/15,14/15,borussia-dortmund,,0.0,,,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,630.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,0.0,,,,,,7.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,Roman Weidenfeller,UEFA Champions League 16/17,16/17,borussia-dortmund,6.6,0.0,0.0,0.0,0.0,0.0,43.0,12.0,55.0,78.181818181818,39.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,9.0,42.857142857143,4.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,6.0,3.0,6.0,0.0,1.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,6.0,,,,0.0,0.0,1.0,41.0,14.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,Roman Weidenfeller,UEFA Champions League 17/18,17/18,borussia-dortmund,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,66.666666666667,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,Sebastian Kehl,Champions League 13/14,13/14,borussia-dortmund,,1.0,,,0.0,1.0,,,,,,,,,,,,,3.0,0.0,0.0,,,,,,,,,,,,422.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,422.0,0.0,,,,,,5.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,Sebastian Kehl,Champions League 14/15,14/15,borussia-dortmund,,0.0,,,1.0,1.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,316.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,0.0,,,,,,4.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,Daniel Braaten,Champions League 13/14,13/14,fc-kobenhavn,,1.0,,,0.0,1.0,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,,,,,,,330.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,330.0,0.0,,,,,,4.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
